filename,score,grade
1004355.txt,1.77,low
filename,score,grade
1007363.txt,2.02,low
filename,score,grade
1079196.txt,3.12,high
filename,score,grade
1086343.txt,2.97,low
filename,score,grade
1096747.txt,2.77,low
filename,score,grade
1109085.txt,2.21,high
filename,score,grade
1164913.txt,1.93,low
filename,score,grade
1174920.txt,2.63,low
filename,score,grade
1181356.txt,2.91,low
filename,score,grade
1223368.txt,2.94,high
filename,score,grade
1239289.txt,2.15,low
filename,score,grade
1249928.txt,2.13,low
filename,score,grade
1321982.txt,1,low
filename,score,grade
1346734.txt,2.69,low
filename,score,grade
1365003.txt,3.28,high
filename,score,grade
1388870.txt,2.86,low
filename,score,grade
1392946.txt,2.44,high
filename,score,grade
1394540.txt,2.82,low
filename,score,grade
1414676.txt,2.77,high
filename,score,grade
1431839.txt,3.07,high
filename,score,grade
1447041.txt,1.78,low
filename,score,grade
1449555.txt,2.99,high
filename,score,grade
1453563.txt,1.82,high
filename,score,grade
1469088.txt,1.6,low
filename,score,grade
1599482.txt,1.96,high
filename,score,grade
1604419.txt,2.85,low
filename,score,grade
162639.txt,2.71,high
filename,score,grade
1648484.txt,1.47,low
filename,score,grade
1691426.txt,2.71,low
filename,score,grade
1693042.txt,2.67,high
filename,score,grade
1703761.txt,3.43,low
filename,score,grade
1723586.txt,2.25,high
filename,score,grade
1728162.txt,1.51,high
filename,score,grade
1784031.txt,2.43,low
filename,score,grade
1790750.txt,2.8,low
filename,score,grade
1804641.txt,1.0,low
filename,score,grade
1812668.txt,1,low
filename,score,grade
1813924.txt,2.21,low
filename,score,grade
1827588.txt,2.88,high
filename,score,grade
1834502.txt,2.34,high
filename,score,grade
1851482.txt,2.41,low
filename,score,grade
186616.txt,2.89,high
filename,score,grade
1876159.txt,1.12,high
filename,score,grade
1897285.txt,2.28,low
filename,score,grade
1942513.txt,2.84,high
filename,score,grade
1949465.txt,2.03,high
filename,score,grade
1971958.txt,2.15,low
filename,score,grade
1974703.txt,3.56,low
filename,score,grade
1985615.txt,2.72,high
filename,score,grade
206667.txt,1.37,low
filename,score,grade
216672.txt,1.6,low
filename,score,grade
219983.txt,2.27,low
filename,score,grade
230893.txt,1.76,high
filename,score,grade
232159.txt,2.17,high
filename,score,grade
248917.txt,3.67,low
filename,score,grade
265349.txt,3.03,high
filename,score,grade
279212.txt,2.81,high
filename,score,grade
302140.txt,3.06,high
filename,score,grade
338351.txt,2.61,high
filename,score,grade
339615.txt,2.93,low
filename,score,grade
345396.txt,2.77,low
filename,score,grade
373416.txt,2.23,high
filename,score,grade
38209.txt,2.52,high
filename,score,grade
392518.txt,3.29,low
filename,score,grade
395987.txt,2.68,high
filename,score,grade
404521.txt,1,low
filename,score,grade
412197.txt,2.82,high
filename,score,grade
425198.txt,2.31,low
filename,score,grade
449267.txt,3.18,low
filename,score,grade
450359.txt,2.55,low
filename,score,grade
496928.txt,2.76,low
filename,score,grade
526827.txt,2.27,low
filename,score,grade
52951.txt,2.6,high
filename,score,grade
535573.txt,3.13,high
filename,score,grade
562823.txt,2.38,low
filename,score,grade
586583.txt,2.88,low
filename,score,grade
589458.txt,1.8,low
filename,score,grade
594970.txt,2.94,high
filename,score,grade
599905.txt,2.19,high
filename,score,grade
609558.txt,2.14,high
filename,score,grade
618384.txt,1.81,high
filename,score,grade
643139.txt,3.86,low
filename,score,grade
644250.txt,2.26,low
filename,score,grade
656695.txt,2.25,high
filename,score,grade
661830.txt,2.05,low
filename,score,grade
67346.txt,3.02,high
filename,score,grade
711394.txt,2.84,high
filename,score,grade
71654.txt,2.62,high
filename,score,grade
716766.txt,2.4,high
filename,score,grade
746257.txt,1.88,low
filename,score,grade
749940.txt,2.12,low
filename,score,grade
755753.txt,2.76,high
filename,score,grade
757891.txt,3.03,high
filename,score,grade
806909.txt,2.83,high
filename,score,grade
832751.txt,2.43,high
filename,score,grade
844996.txt,2.5,high
filename,score,grade
871631.txt,2.35,low
filename,score,grade
913996.txt,1.61,high
filename,score,grade
937403.txt,2.43,high
filename,score,grade
990384.txt,1.52,high
