filename,score,grade
1004355.txt,3.39,low
filename,score,grade
1007363.txt,3.51,low
filename,score,grade
1079196.txt,4.06,high
filename,score,grade
1086343.txt,3.98,low
filename,score,grade
1096747.txt,3.88,low
filename,score,grade
1109085.txt,3.61,high
filename,score,grade
1164913.txt,3.47,low
filename,score,grade
1174920.txt,3.81,low
filename,score,grade
1181356.txt,3.96,low
filename,score,grade
1223368.txt,3.97,high
filename,score,grade
1239289.txt,3.58,low
filename,score,grade
1249928.txt,3.57,low
filename,score,grade
1321982.txt,2.9,low
filename,score,grade
1346734.txt,3.84,low
filename,score,grade
1365003.txt,4.14,high
filename,score,grade
1388870.txt,3.93,low
filename,score,grade
1392946.txt,3.72,high
filename,score,grade
1394540.txt,3.91,low
filename,score,grade
1414676.txt,3.89,high
filename,score,grade
1431839.txt,4.03,high
filename,score,grade
1447041.txt,3.39,low
filename,score,grade
1449555.txt,4.0,high
filename,score,grade
1453563.txt,3.41,high
filename,score,grade
1469088.txt,3.3,low
filename,score,grade
1599482.txt,3.48,high
filename,score,grade
1604419.txt,3.92,low
filename,score,grade
162639.txt,3.85,high
filename,score,grade
1648484.txt,3.23,low
filename,score,grade
1691426.txt,3.85,low
filename,score,grade
1693042.txt,3.84,high
filename,score,grade
1703761.txt,4.22,low
filename,score,grade
1723586.txt,3.63,high
filename,score,grade
1728162.txt,3.26,high
filename,score,grade
1784031.txt,3.71,low
filename,score,grade
1790750.txt,3.9,low
filename,score,grade
1804641.txt,3.0,low
filename,score,grade
1812668.txt,2.96,low
filename,score,grade
1813924.txt,3.6,low
filename,score,grade
1827588.txt,3.94,high
filename,score,grade
1834502.txt,3.67,high
filename,score,grade
1851482.txt,3.71,low
filename,score,grade
186616.txt,3.94,high
filename,score,grade
1876159.txt,3.06,high
filename,score,grade
1897285.txt,3.64,low
filename,score,grade
1942513.txt,3.92,high
filename,score,grade
1949465.txt,3.52,high
filename,score,grade
1971958.txt,3.58,low
filename,score,grade
1974703.txt,4.28,low
filename,score,grade
1985615.txt,3.86,high
filename,score,grade
206667.txt,3.19,low
filename,score,grade
216672.txt,3.3,low
filename,score,grade
219983.txt,3.64,low
filename,score,grade
230893.txt,3.38,high
filename,score,grade
232159.txt,3.58,high
filename,score,grade
248917.txt,4.34,low
filename,score,grade
265349.txt,4.01,high
filename,score,grade
279212.txt,3.9,high
filename,score,grade
302140.txt,4.03,high
filename,score,grade
338351.txt,3.8,high
filename,score,grade
339615.txt,3.96,low
filename,score,grade
345396.txt,3.88,low
filename,score,grade
373416.txt,3.62,high
filename,score,grade
38209.txt,3.76,high
filename,score,grade
392518.txt,4.14,low
filename,score,grade
395987.txt,3.84,high
filename,score,grade
404521.txt,2.76,low
filename,score,grade
412197.txt,3.91,high
filename,score,grade
425198.txt,3.65,low
filename,score,grade
449267.txt,4.09,low
filename,score,grade
450359.txt,3.77,low
filename,score,grade
496928.txt,3.88,low
filename,score,grade
526827.txt,3.63,low
filename,score,grade
52951.txt,3.8,high
filename,score,grade
535573.txt,4.07,high
filename,score,grade
562823.txt,3.69,low
filename,score,grade
586583.txt,3.94,low
filename,score,grade
589458.txt,3.4,low
filename,score,grade
594970.txt,3.97,high
filename,score,grade
599905.txt,3.6,high
filename,score,grade
609558.txt,3.57,high
filename,score,grade
618384.txt,3.41,high
filename,score,grade
643139.txt,4.43,low
filename,score,grade
644250.txt,3.63,low
filename,score,grade
656695.txt,3.62,high
filename,score,grade
661830.txt,3.53,low
filename,score,grade
67346.txt,4.01,high
filename,score,grade
711394.txt,3.92,high
filename,score,grade
71654.txt,3.81,high
filename,score,grade
716766.txt,3.7,high
filename,score,grade
746257.txt,3.44,low
filename,score,grade
749940.txt,3.56,low
filename,score,grade
755753.txt,3.88,high
filename,score,grade
757891.txt,4.02,high
filename,score,grade
806909.txt,3.92,high
filename,score,grade
832751.txt,3.72,high
filename,score,grade
844996.txt,3.75,high
filename,score,grade
871631.txt,3.67,low
filename,score,grade
913996.txt,3.31,high
filename,score,grade
937403.txt,3.71,high
filename,score,grade
990384.txt,3.26,high
