filename,score,grade
1004355.txt,2.6,low
filename,score,grade
1007363.txt,2.2,low
filename,score,grade
1079196.txt,4.6,high
filename,score,grade
1086343.txt,1.8,low
filename,score,grade
1096747.txt,1,low
filename,score,grade
1109085.txt,3.4,high
filename,score,grade
1164913.txt,3.0,low
filename,score,grade
1174920.txt,1,low
filename,score,grade
1181356.txt,2.6,low
filename,score,grade
1223368.txt,4.2,high
filename,score,grade
1239289.txt,1.8,low
filename,score,grade
1249928.txt,3.0,low
filename,score,grade
1321982.txt,1.4,low
filename,score,grade
1346734.txt,1,low
filename,score,grade
1365003.txt,5,high
filename,score,grade
1388870.txt,2.6,low
filename,score,grade
1392946.txt,5,high
filename,score,grade
1394540.txt,1.4,low
filename,score,grade
1414676.txt,5,high
filename,score,grade
1431839.txt,5,high
filename,score,grade
1447041.txt,1.0,low
filename,score,grade
1449555.txt,5,high
filename,score,grade
1453563.txt,3.4,high
filename,score,grade
1469088.txt,3.4,low
filename,score,grade
1599482.txt,4.2,high
filename,score,grade
1604419.txt,1,low
filename,score,grade
162639.txt,5,high
filename,score,grade
1648484.txt,1,low
filename,score,grade
1691426.txt,5,low
filename,score,grade
1693042.txt,5,high
filename,score,grade
1703761.txt,2.2,low
filename,score,grade
1723586.txt,4.6,high
filename,score,grade
1728162.txt,4.2,high
filename,score,grade
1784031.txt,1,low
filename,score,grade
1790750.txt,1.4,low
filename,score,grade
1804641.txt,1,low
filename,score,grade
1812668.txt,1,low
filename,score,grade
1813924.txt,5,low
filename,score,grade
1827588.txt,5,high
filename,score,grade
1834502.txt,5,high
filename,score,grade
1851482.txt,3.0,low
filename,score,grade
186616.txt,5,high
filename,score,grade
1876159.txt,3.4,high
filename,score,grade
1897285.txt,1,low
filename,score,grade
1942513.txt,5,high
filename,score,grade
1949465.txt,5,high
filename,score,grade
1971958.txt,3.8,low
filename,score,grade
1974703.txt,1,low
filename,score,grade
1985615.txt,5,high
filename,score,grade
206667.txt,3.0,low
filename,score,grade
216672.txt,1,low
filename,score,grade
219983.txt,2.6,low
filename,score,grade
230893.txt,4.2,high
filename,score,grade
232159.txt,4.2,high
filename,score,grade
248917.txt,1.4,low
filename,score,grade
265349.txt,5,high
filename,score,grade
279212.txt,5,high
filename,score,grade
302140.txt,5,high
filename,score,grade
338351.txt,5,high
filename,score,grade
339615.txt,2.6,low
filename,score,grade
345396.txt,2.2,low
filename,score,grade
373416.txt,4.2,high
filename,score,grade
38209.txt,5,high
filename,score,grade
392518.txt,2.6,low
filename,score,grade
395987.txt,5,high
filename,score,grade
404521.txt,1,low
filename,score,grade
412197.txt,5,high
filename,score,grade
425198.txt,1.4,low
filename,score,grade
449267.txt,3.8,low
filename,score,grade
450359.txt,1.4,low
filename,score,grade
496928.txt,2.6,low
filename,score,grade
526827.txt,1,low
filename,score,grade
52951.txt,4.6,high
filename,score,grade
535573.txt,5,high
filename,score,grade
562823.txt,1,low
filename,score,grade
586583.txt,1.0,low
filename,score,grade
589458.txt,1,low
filename,score,grade
594970.txt,4.6,high
filename,score,grade
599905.txt,5,high
filename,score,grade
609558.txt,5,high
filename,score,grade
618384.txt,3.4,high
filename,score,grade
643139.txt,2.6,low
filename,score,grade
644250.txt,3.8,low
filename,score,grade
656695.txt,3.4,high
filename,score,grade
661830.txt,3.0,low
filename,score,grade
67346.txt,5,high
filename,score,grade
711394.txt,5,high
filename,score,grade
71654.txt,5,high
filename,score,grade
716766.txt,3.8,high
filename,score,grade
746257.txt,1.0,low
filename,score,grade
749940.txt,1,low
filename,score,grade
755753.txt,5,high
filename,score,grade
757891.txt,5,high
filename,score,grade
806909.txt,5,high
filename,score,grade
832751.txt,4.2,high
filename,score,grade
844996.txt,4.2,high
filename,score,grade
871631.txt,1.4,low
filename,score,grade
913996.txt,3.8,high
filename,score,grade
937403.txt,5,high
filename,score,grade
990384.txt,5,high
